0,1,2,3,4,5,6,7,8,9,10
grapes,coffee,,,,,,,,,
rolls/buns,sausage,whole milk,nuts/prunes,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
hamburger meat,citrus fruit,specialty chocolate,other vegetables,,,,,,,
beverages,tropical fruit,ham,flour,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
rolls/buns,brown bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
fruit/vegetable juice,dental care,,,,,,,,,
sausage,pip fruit,,,,,,,,,
soda,other vegetables,,,,,,,,,
root vegetables,white wine,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
root vegetables,soda,,,,,,,,,
sausage,curd,brown bread,,,,,,,,
bottled water,ice cream,,,,,,,,,
seasonal products,salt,,,,,,,,,
other vegetables,pip fruit,white bread,,,,,,,,
bottled water,canned beer,,,,,,,,,
popcorn,citrus fruit,,,,,,,,,
tropical fruit,beef,cream cheese ,frozen vegetables,,,,,,,
waffles,cereals,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
sausage,tea,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
pip fruit,whipped/sour cream,rolls/buns,,,,,,,,
pip fruit,vinegar,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
hard cheese,cream cheese ,,,,,,,,,
sausage,bottled water,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
bottled water,red/blush wine,,,,,,,,,
yogurt,yogurt,bags,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
whole milk,canned beer,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
pork,whole milk,,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
baking powder,liqueur,,,,,,,,,
oil,soda,,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
cake bar,whipped/sour cream,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
soda,nut snack,,,,,,,,,
dishes,bottled water,spread cheese,sugar,,,,,,,
soda,roll products ,,,,,,,,,
curd,light bulbs,,,,,,,,,
turkey,herbs,white bread,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,,
pip fruit,flour,,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
citrus fruit,hard cheese,pastry,salty snack,,,,,,,
detergent,root vegetables,fruit/vegetable juice,brown bread,,,,,,,
root vegetables,soda,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
ham,specialty chocolate,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
beef,flower (seeds),,,,,,,,,
curd,meat,yogurt,whipped/sour cream,,,,,,,
pet care,whole milk,curd,frozen vegetables,,,,,,,
bottled beer,soda,,,,,,,,,
whole milk,citrus fruit,long life bakery product,salty snack,chocolate,,,,,,
dessert,rolls/buns,,,,,,,,,
brown bread,pet care,,,,,,,,,
other vegetables,coffee,rolls/buns,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
seasonal products,oil,liquor (appetizer),cookware,,,,,,,
rolls/buns,newspapers,,,,,,,,,
frozen potato products,detergent,,,,,,,,,
herbs,root vegetables,,,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
berries,coffee,,,,,,,,,
sausage,soda,,,,,,,,,
pork,processed cheese,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
frozen meals,bottled beer,root vegetables,potato products,,,,,,,
fruit/vegetable juice,pickled vegetables,,,,,,,,,
dish cleaner,frozen potato products,,,,,,,,,
tropical fruit,whole milk,long life bakery product,,,,,,,,
tropical fruit,whole milk,dish cleaner,yogurt,newspapers,,,,,,
bottled beer,rolls/buns,soda,,,,,,,,
pip fruit,chocolate,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
white wine,whole milk,misc. beverages,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
chewing gum,UHT-milk,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
margarine,dishes,,,,,,,,,
shopping bags,soda,,,,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
soda,sliced cheese,,,,,,,,,
sausage,pip fruit,,,,,,,,,
root vegetables,rice,,,,,,,,,
potato products,other vegetables,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
sausage,newspapers,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
whole milk,meat,,,,,,,,,
shopping bags,root vegetables,sliced cheese,,,,,,,,
turkey,condensed milk,yogurt,,,,,,,,
beef,jam,flower (seeds),,,,,,,,
meat,dishes,,,,,,,,,
frozen potato products,pastry,,,,,,,,,
sausage,sugar,yogurt,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
oil,whipped/sour cream,pip fruit,whole milk,,,,,,,
canned beer,white bread,,,,,,,,,
whole milk,dessert,,,,,,,,,
soda,seasonal products,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
dessert,red/blush wine,,,,,,,,,
whole milk,curd cheese,root vegetables,pastry,,,,,,,
bottled beer,soap,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
margarine,herbs,,,,,,,,,
other vegetables,salt,other vegetables,,,,,,,,
meat,pastry,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
pastry,shopping bags,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pork,beef,beef,bottled water,salty snack,flour,instant coffee,,,,
hamburger meat,pork,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
light bulbs,cooking chocolate,,,,,,,,,
ham,UHT-milk,margarine,,,,,,,,
soda,tropical fruit,other vegetables,bottled water,,,,,,,
yogurt,rolls/buns,fruit/vegetable juice,spices,canned fish,,,,,,
sausage,domestic eggs,,,,,,,,,
chicken,other vegetables,,,,,,,,,
whole milk,berries,,,,,,,,,
berries,white bread,,,,,,,,,
sausage,shopping bags,light bulbs,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
soda,whole milk,oil,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
onions,pork,,,,,,,,,
ham,beef,bottled water,citrus fruit,dishes,,,,,,
newspapers,spread cheese,,,,,,,,,
meat,whole milk,processed cheese,butter,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
sausage,margarine,,,,,,,,,
finished products,whole milk,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
other vegetables,bottled beer,white bread,fruit/vegetable juice,,,,,,,
root vegetables,grapes,,,,,,,,,
soap,yogurt,,,,,,,,,
berries,baking powder,,,,,,,,,
onions,long life bakery product,,,,,,,,,
beef,soda,,,,,,,,,
soda,newspapers,,,,,,,,,
meat,herbs,,,,,,,,,
berries,margarine,,,,,,,,,
ready soups,baking powder,,,,,,,,,
rolls/buns,specialty chocolate,napkins,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
onions,grapes,bottled beer,,,,,,,,
sausage,pastry,mayonnaise,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
canned vegetables,dental care,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
yogurt,pork,UHT-milk,specialty bar,,,,,,,
domestic eggs,pastry,,,,,,,,,
beverages,yogurt,,,,,,,,,
butter,frozen meals,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
bottled beer,sugar,bottled water,,,,,,,,
chicken,sugar,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
tropical fruit,UHT-milk,candy,,,,,,,,
dessert,white bread,salty snack,cat food,,,,,,,
chewing gum,root vegetables,frozen vegetables,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
curd,specialty bar,,,,,,,,,
chicken,whole milk,,,,,,,,,
yogurt,brown bread,newspapers,,,,,,,,
canned vegetables,napkins,,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
curd,long life bakery product,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
brown bread,bottled water,domestic eggs,,,,,,,,
ice cream,canned beer,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
bathroom cleaner,beverages,,,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
curd,zwieback,,,,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
UHT-milk,yogurt,pastry,UHT-milk,,,,,,,
pip fruit,whole milk,,,,,,,,,
butter,newspapers,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
sausage,bottled water,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
dish cleaner,whole milk,flower (seeds),flour,chewing gum,dog food,,,,,
pot plants,soda,,,,,,,,,
sausage,soda,,,,,,,,,
newspapers,whole milk,,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
sausage,root vegetables,,,,,,,,,
packaged fruit/vegetables,shopping bags,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
condensed milk,waffles,domestic eggs,,,,,,,,
other vegetables,frozen dessert,,,,,,,,,
ham,salt,,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
finished products,whole milk,,,,,,,,,
sausage,soda,processed cheese,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
mustard,zwieback,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
coffee,whole milk,,,,,,,,,
whole milk,butter,shopping bags,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pip fruit,pastry,,,,,,,,,
citrus fruit,brown bread,snack products,napkins,,,,,,,
specialty cheese,other vegetables,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
pastry,brown bread,,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
chocolate,pip fruit,rolls/buns,other vegetables,frozen vegetables,,,,,,
citrus fruit,rolls/buns,pastry,,,,,,,,
photo/film,rolls/buns,,,,,,,,,
sparkling wine,bottled water,,,,,,,,,
sausage,chocolate,,,,,,,,,
rolls/buns,tropical fruit,coffee,chocolate,,,,,,,
specialty chocolate,citrus fruit,UHT-milk,frozen meals,,,,,,,
margarine,frozen meals,,,,,,,,,
root vegetables,white wine,bottled water,red/blush wine,,,,,,,
canned beer,tropical fruit,root vegetables,other vegetables,,,,,,,
beverages,pickled vegetables,,,,,,,,,
canned fruit,dog food,,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
butter,citrus fruit,,,,,,,,,
whole milk,butter,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,white wine,processed cheese,,,,,,,,
pork,cleaner,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,pastry,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
seasonal products,soups,,,,,,,,,
tropical fruit,cat food,pot plants,curd,soft cheese,soft cheese,,,,,
soda,tropical fruit,,,,,,,,,
whole milk,cat food,long life bakery product,,,,,,,,
hygiene articles,bottled water,,,,,,,,,
ready soups,shopping bags,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
curd,soda,sugar,specialty chocolate,artif. sweetener,,,,,,
frankfurter,yogurt,,,,,,,,,
onions,coffee,,,,,,,,,
root vegetables,UHT-milk,UHT-milk,spread cheese,shopping bags,,,,,,
whole milk,cream cheese ,soda,,,,,,,,
waffles,rolls/buns,,,,,,,,,
UHT-milk,butter,soda,,,,,,,,
pot plants,spread cheese,butter milk,,,,,,,,
berries,pet care,,,,,,,,,
hamburger meat,spread cheese,pasta,,,,,,,,
waffles,salty snack,hard cheese,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
UHT-milk,shopping bags,,,,,,,,,
meat,hygiene articles,hard cheese,cat food,,,,,,,
pork,whole milk,other vegetables,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frankfurter,beef,,,,,,,,,
other vegetables,white bread,whole milk,,,,,,,,
sparkling wine,whole milk,dessert,salt,,,,,,,
other vegetables,pip fruit,UHT-milk,herbs,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
bottled water,frozen vegetables,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,coffee,,,,,,,,,
other vegetables,cream cheese ,liquor,root vegetables,newspapers,hard cheese,,,,,
yogurt,root vegetables,,,,,,,,,
turkey,white bread,,,,,,,,,
root vegetables,sugar,bottled water,white bread,,,,,,,
soda,misc. beverages,,,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
zwieback,salty snack,,,,,,,,,
soda,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
napkins,dessert,,,,,,,,,
tropical fruit,curd,,,,,,,,,
shopping bags,cream cheese ,cream cheese ,,,,,,,,
hamburger meat,dessert,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
citrus fruit,soda,,,,,,,,,
specialty bar,margarine,,,,,,,,,
soft cheese,pickled vegetables,,,,,,,,,
frankfurter,pastry,,,,,,,,,
newspapers,coffee,soft cheese,,,,,,,,
sausage,root vegetables,soda,chocolate marshmallow,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,yogurt,napkins,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
cream cheese ,root vegetables,soda,,,,,,,,
tropical fruit,rum,flour,,,,,,,,
pip fruit,candy,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
coffee,sausage,salt,white wine,,,,,,,
whole milk,waffles,,,,,,,,,
specialty chocolate,soda,bathroom cleaner,,,,,,,,
rolls/buns,brandy,,,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
female sanitary products,dishes,,,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
beef,whole milk,frozen dessert,whipped/sour cream,,,,,,,
soda,white bread,fruit/vegetable juice,,,,,,,,
citrus fruit,soda,shopping bags,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
other vegetables,snack products,,,,,,,,,
brown bread,butter milk,oil,frozen meals,,,,,,,
whipped/sour cream,pork,pastry,soda,,,,,,,
beverages,bottled water,yogurt,,,,,,,,
root vegetables,misc. beverages,other vegetables,,,,,,,,
yogurt,ham,other vegetables,soda,other vegetables,newspapers,nut snack,canned beer,,,
soda,whole milk,,,,,,,,,
specialty cheese,misc. beverages,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
yogurt,frozen meals,,,,,,,,,
rolls/buns,sugar,fruit/vegetable juice,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
whole milk,bottled water,,,,,,,,,
yogurt,male cosmetics,sugar,salt,,,,,,,
pot plants,citrus fruit,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
whipped/sour cream,pip fruit,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
sausage,other vegetables,frankfurter,coffee,pastry,bottled water,soda,whole milk,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
soda,pastry,,,,,,,,,
fruit/vegetable juice,bottled water,,,,,,,,,
sliced cheese,cling film/bags,,,,,,,,,
canned beer,specialty chocolate,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
pork,rolls/buns,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
soda,other vegetables,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
chewing gum,coffee,napkins,brown bread,,,,,,,
beef,other vegetables,,,,,,,,,
beverages,margarine,napkins,napkins,,,,,,,
other vegetables,newspapers,,,,,,,,,
male cosmetics,oil,,,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
tropical fruit,curd,brown bread,pastry,,,,,,,
sausage,other vegetables,fruit/vegetable juice,,,,,,,,
whipped/sour cream,toilet cleaner,,,,,,,,,
soda,root vegetables,,,,,,,,,
rolls/buns,fruit/vegetable juice,frozen vegetables,whipped/sour cream,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
soda,margarine,,,,,,,,,
yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
tropical fruit,dessert,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
soups,coffee,,,,,,,,,
yogurt,liqueur,,,,,,,,,
salty snack,canned beer,,,,,,,,,
domestic eggs,sugar,,,,,,,,,
whole milk,dessert,,,,,,,,,
pip fruit,candles,rolls/buns,,,,,,,,
cat food,soda,,,,,,,,,
salt,yogurt,rolls/buns,whole milk,,,,,,,
pork,hamburger meat,,,,,,,,,
curd,tropical fruit,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
pork,other vegetables,,,,,,,,,
beef,sausage,,,,,,,,,
UHT-milk,hard cheese,,,,,,,,,
UHT-milk,soda,salty snack,,,,,,,,
yogurt,hard cheese,other vegetables,rolls/buns,,,,,,,
packaged fruit/vegetables,pastry,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
curd cheese,UHT-milk,,,,,,,,,
chicken,cat food,,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
specialty chocolate,whipped/sour cream,,,,,,,,,
house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
light bulbs,yogurt,,,,,,,,,
chocolate,dessert,,,,,,,,,
ham,yogurt,,,,,,,,,
other vegetables,prosecco,pot plants,,,,,,,,
rolls/buns,semi-finished bread,dessert,yogurt,,,,,,,
ice cream,UHT-milk,,,,,,,,,
other vegetables,margarine,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
sausage,frozen meals,instant coffee,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
brown bread,misc. beverages,,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
yogurt,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
dog food,canned beer,,,,,,,,,
soda,margarine,,,,,,,,,
condensed milk,whole milk,other vegetables,soups,,,,,,,
pastry,liquor (appetizer),sliced cheese,,,,,,,,
tropical fruit,whole milk,liquor,,,,,,,,
bottled water,sugar,,,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
bottled beer,bottled water,,,,,,,,,
condensed milk,onions,coffee,candy,,,,,,,
pip fruit,bottled water,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
soda,misc. beverages,,,,,,,,,
white bread,canned fish,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
citrus fruit,beef,,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
yogurt,butter,,,,,,,,,
chewing gum,photo/film,yogurt,long life bakery product,soda,whole milk,,,,,
organic sausage,herbs,,,,,,,,,
pork,brown bread,,,,,,,,,
sausage,bottled water,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
chicken,grapes,pot plants,curd cheese,coffee,napkins,,,,,
soda,brown bread,,,,,,,,,
other vegetables,rolls/buns,soda,cat food,,,,,,,
canned fish,specialty cheese,yogurt,specialty vegetables,,,,,,,
root vegetables,shopping bags,,,,,,,,,
beef,napkins,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
tropical fruit,dish cleaner,bottled water,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
butter milk,soda,rolls/buns,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
soda,tropical fruit,,,,,,,,,
misc. beverages,yogurt,,,,,,,,,
frozen vegetables,napkins,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
root vegetables,whole milk,rolls/buns,,,,,,,,
pastry,chocolate,,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
ice cream,citrus fruit,soda,,,,,,,,
whole milk,brown bread,,,,,,,,,
turkey,shopping bags,,,,,,,,,
root vegetables,berries,coffee,bottled beer,rice,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
pastry,root vegetables,,,,,,,,,
pork,napkins,,,,,,,,,
long life bakery product,other vegetables,,,,,,,,,
bottled water,salty snack,,,,,,,,,
newspapers,whipped/sour cream,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
newspapers,dishes,,,,,,,,,
root vegetables,coffee,shopping bags,specialty bar,,,,,,,
whole milk,whole milk,sausage,newspapers,soda,flour,bottled water,liquor,,,
pip fruit,pot plants,,,,,,,,,
berries,dog food,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
pastry,specialty cheese,soap,rolls/buns,,,,,,,
brandy,whole milk,whole milk,bottled water,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
dog food,curd,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
root vegetables,fruit/vegetable juice,bottled water,soda,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
citrus fruit,shopping bags,shopping bags,,,,,,,,
sausage,beverages,,,,,,,,,
pork,curd,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
ham,other vegetables,,,,,,,,,
tropical fruit,flour,,,,,,,,,
hamburger meat,curd,,,,,,,,,
specialty chocolate,whole milk,,,,,,,,,
root vegetables,whole milk,whole milk,newspapers,bottled water,,,,,,
curd,soda,,,,,,,,,
soda,other vegetables,,,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
root vegetables,chocolate,candy,,,,,,,,
fruit/vegetable juice,butter,brown bread,dental care,,,,,,,
other vegetables,chocolate,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
yogurt,butter,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
brown bread,male cosmetics,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
root vegetables,mustard,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
hygiene articles,bottled water,candy,,,,,,,,
whole milk,bottled water,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
beef,root vegetables,,,,,,,,,
UHT-milk,berries,shopping bags,,,,,,,,
pork,bottled water,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
whole milk,salty snack,shopping bags,,,,,,,,
long life bakery product,soap,,,,,,,,,
grapes,waffles,soda,,,,,,,,
yogurt,dog food,semi-finished bread,napkins,,,,,,,
curd,butter,,,,,,,,,
citrus fruit,soap,,,,,,,,,
frankfurter,chicken,butter,bottled water,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
pip fruit,napkins,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
other vegetables,meat spreads,specialty cheese,,,,,,,,
bottled beer,yogurt,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
rum,yogurt,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
whole milk,pastry,specialty bar,,,,,,,,
pork,domestic eggs,UHT-milk,rolls/buns,,,,,,,
sausage,rolls/buns,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
soda,onions,other vegetables,,,,,,,,
pork,hygiene articles,,,,,,,,,
butter,sugar,,,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
berries,sliced cheese,,,,,,,,,
finished products,other vegetables,,,,,,,,,
meat,butter,cleaner,misc. beverages,,,,,,,
fish,canned beer,,,,,,,,,
cream cheese ,chocolate marshmallow,spread cheese,pastry,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
citrus fruit,pastry,,,,,,,,,
pastry,berries,,,,,,,,,
beef,shopping bags,,,,,,,,,
beef,white bread,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
newspapers,brown bread,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
canned beer,soda,,,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
other vegetables,beverages,,,,,,,,,
oil,UHT-milk,,,,,,,,,
other vegetables,brown bread,whipped/sour cream,,,,,,,,
beverages,soda,,,,,,,,,
beef,other vegetables,,,,,,,,,
onions,butter,,,,,,,,,
frankfurter,root vegetables,fruit/vegetable juice,margarine,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
citrus fruit,yogurt,UHT-milk,,,,,,,,
other vegetables,cream cheese ,tropical fruit,root vegetables,specialty chocolate,,,,,,
frankfurter,sliced cheese,sugar,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
soda,rolls/buns,napkins,salt,,,,,,,
newspapers,frozen dessert,,,,,,,,,
pork,whole milk,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
sausage,cream cheese ,,,,,,,,,
other vegetables,dishes,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
spread cheese,specialty chocolate,sugar,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
